"date","NDVI","mission","type","year","yday"
2015-02-23,0.640372617235571,"landsat 8","forest",2015,54
2015-03-09,0.291320114825105,"landsat 8","forest",2015,68
2015-03-11,0.291320114825105,"landsat 8","forest",2015,70
2015-03-18,0.314947883544628,"landsat 8","forest",2015,77
2015-03-27,0.362934111316269,"landsat 8","forest",2015,86
2015-04-03,0.362934111316269,"landsat 8","forest",2015,93
2015-04-10,0.359855919340077,"landsat 8","forest",2015,100
2015-04-12,0.359855919340077,"landsat 8","forest",2015,102
2015-04-19,0.406048052057263,"landsat 8","forest",2015,109
2015-04-26,0.459440324603227,"landsat 8","forest",2015,116
2015-04-28,0.526012508272544,"landsat 8","forest",2015,118
2015-05-05,0.528831826128076,"landsat 8","forest",2015,125
2015-05-12,NA,"landsat 8","forest",2015,132
2015-05-14,NA,"landsat 8","forest",2015,134
2015-05-21,0.796733505000231,"landsat 8","forest",2015,141
2015-05-28,0.795578486026362,"landsat 8","forest",2015,148
2015-05-30,0.761634791596665,"landsat 8","forest",2015,150
2015-06-06,0.815961095827892,"landsat 8","forest",2015,157
2015-06-13,0.815961095827892,"landsat 8","forest",2015,164
2015-06-15,NA,"landsat 8","forest",2015,166
2015-06-29,0.77886862923068,"landsat 8","forest",2015,180
2015-07-01,0.77886862923068,"landsat 8","forest",2015,182
2015-07-08,0.768582793260514,"landsat 8","forest",2015,189
2015-07-15,0.840710315003084,"landsat 8","forest",2015,196
2015-07-17,0.840710315003085,"landsat 8","forest",2015,198
2015-07-24,0.832357300347356,"landsat 8","forest",2015,205
2015-07-31,0.83493266763791,"landsat 8","forest",2015,212
2015-08-02,0.847882250380248,"landsat 8","forest",2015,214
2015-08-16,0.826024398698775,"landsat 8","forest",2015,228
2015-08-18,0.826024398698775,"landsat 8","forest",2015,230
2015-08-25,0.825675740192497,"landsat 8","forest",2015,237
2015-09-01,0.808950376991265,"landsat 8","forest",2015,244
2015-09-03,0.807757017218828,"landsat 8","forest",2015,246
2015-09-10,0.793219748739323,"landsat 8","forest",2015,253
2015-09-17,0.782304122758714,"landsat 8","forest",2015,260
2015-09-19,0.76013789373315,"landsat 8","forest",2015,262
2015-09-26,0.781994408834093,"landsat 8","forest",2015,269
2015-10-03,0.781479360029423,"landsat 8","forest",2015,276
2015-10-05,NA,"landsat 8","forest",2015,278
2015-10-12,NA,"landsat 8","forest",2015,285
2015-10-19,0.605679610335946,"landsat 8","forest",2015,292
2015-10-21,0.605679610335947,"landsat 8","forest",2015,294
2015-11-04,0.55594271001498,"landsat 8","forest",2015,308
2015-11-06,0.55594271001498,"landsat 8","forest",2015,310
2015-11-13,0.49661606279952,"landsat 8","forest",2015,317
2015-11-20,0.495182950360269,"landsat 8","forest",2015,324
2015-11-22,0.376322781905971,"landsat 8","forest",2015,326
2015-11-29,0.435070621988041,"landsat 8","forest",2015,333
2015-12-06,0.46357681690792,"landsat 8","forest",2015,340
2015-12-08,0.46364593861241,"landsat 8","forest",2015,342
2015-12-24,0.407260710873182,"landsat 8","forest",2015,358
2015-12-31,0.426440495576315,"landsat 8","forest",2015,365
2016-01-16,0.37735347179677,"landsat 8","forest",2016,16
2016-01-23,0.373784941271497,"landsat 8","forest",2016,23
2016-01-25,0.34905145208754,"landsat 8","forest",2016,25
2016-02-01,0.3862653034102,"landsat 8","forest",2016,32
2016-02-10,0.407747938122119,"landsat 8","forest",2016,41
2016-02-17,0.376580380881269,"landsat 8","forest",2016,48
2016-02-26,0.359112309636483,"landsat 8","forest",2016,57
2016-03-04,0.309641493527227,"landsat 8","forest",2016,64
2016-03-11,0.316815856360611,"landsat 8","forest",2016,71
2016-03-20,0.391440252351548,"landsat 8","forest",2016,80
2016-03-29,0.401281938319196,"landsat 8","forest",2016,89
2016-04-05,0.414849567570211,"landsat 8","forest",2016,96
2016-04-12,0.417273027227295,"landsat 8","forest",2016,103
2016-04-14,0.419786530125465,"landsat 8","forest",2016,105
2016-04-21,0.438942806588264,"landsat 8","forest",2016,112
2016-05-07,0.586558535787164,"landsat 8","forest",2016,128
2016-05-14,0.58782051099809,"landsat 8","forest",2016,135
2016-05-16,0.639646280990114,"landsat 8","forest",2016,137
2016-05-23,0.769216345118621,"landsat 8","forest",2016,144
2016-05-30,0.77167129980332,"landsat 8","forest",2016,151
2016-06-01,0.822616367021694,"landsat 8","forest",2016,153
2016-06-08,0.823590131450036,"landsat 8","forest",2016,160
2016-06-15,0.828653042380852,"landsat 8","forest",2016,167
2016-06-17,0.856701041514583,"landsat 8","forest",2016,169
2016-06-24,0.846433876889793,"landsat 8","forest",2016,176
2016-07-01,0.846363193580479,"landsat 8","forest",2016,183
2016-07-03,0.872194077321393,"landsat 8","forest",2016,185
2016-07-10,0.822712075615286,"landsat 8","forest",2016,192
2016-07-17,0.822301128250441,"landsat 8","forest",2016,199
2016-07-19,0.821952920859479,"landsat 8","forest",2016,201
2016-07-26,0.853942420209644,"landsat 8","forest",2016,208
2016-08-02,0.854091199314158,"landsat 8","forest",2016,215
2016-08-04,0.847607392788679,"landsat 8","forest",2016,217
2016-08-11,0.838454846855934,"landsat 8","forest",2016,224
2016-08-18,0.840090067370925,"landsat 8","forest",2016,231
2016-08-27,0.823226678372539,"landsat 8","forest",2016,240
2016-09-03,0.822598968704951,"landsat 8","forest",2016,247
2016-09-05,0.822588027390393,"landsat 8","forest",2016,249
2016-09-12,0.835670715500918,"landsat 8","forest",2016,256
2016-09-19,0.832531116222127,"landsat 8","forest",2016,263
2016-09-21,0.788686829599415,"landsat 8","forest",2016,265
2016-10-05,0.81693015965315,"landsat 8","forest",2016,279
2016-10-07,0.81693015965315,"landsat 8","forest",2016,281
2016-10-14,0.754544903260128,"landsat 8","forest",2016,288
2016-10-21,0.743048433991164,"landsat 8","forest",2016,295
2016-10-23,0.690053113060122,"landsat 8","forest",2016,297
2016-11-06,0.57573574607802,"landsat 8","forest",2016,311
2016-11-08,0.57573574607802,"landsat 8","forest",2016,313
2016-11-15,0.534761061058696,"landsat 8","forest",2016,320
2016-11-22,0.534761061058697,"landsat 8","forest",2016,327
2016-12-10,0.515487197655212,"landsat 8","forest",2016,345
2017-01-02,0.14790221631997,"landsat 8","forest",2017,2
2017-02-03,0.375862840517756,"landsat 8","forest",2017,34
2017-02-10,0.375644418771611,"landsat 8","forest",2017,41
2017-02-12,0.378940266930053,"landsat 8","forest",2017,43
2017-02-19,0.382851176651317,"landsat 8","forest",2017,50
2017-02-26,0.383389688503195,"landsat 8","forest",2017,57
2017-03-07,0.406890103187154,"landsat 8","forest",2017,66
2017-03-14,0.404615948456529,"landsat 8","forest",2017,73
2017-03-16,0.348352320545932,"landsat 8","forest",2017,75
2017-03-23,0.342483996210877,"landsat 8","forest",2017,82
2017-04-01,0.394464755094046,"landsat 8","forest",2017,91
2017-04-08,0.392477786761647,"landsat 8","forest",2017,98
2017-04-15,0.403795739547807,"landsat 8","forest",2017,105
2017-04-17,0.480579453129632,"landsat 8","forest",2017,107
2017-04-24,0.529975985864504,"landsat 8","forest",2017,114
2017-05-03,NA,"landsat 8","forest",2017,123
2017-05-10,0.673314566394104,"landsat 8","forest",2017,130
2017-05-17,0.674239325475908,"landsat 8","forest",2017,137
2017-05-19,0.710950283424515,"landsat 8","forest",2017,139
2017-05-26,NA,"landsat 8","forest",2017,146
2017-06-02,0.79060777970768,"landsat 8","forest",2017,153
2017-06-04,0.79060777970768,"landsat 8","forest",2017,155
2017-06-11,0.794225869180545,"landsat 8","forest",2017,162
2017-06-18,0.80509237646221,"landsat 8","forest",2017,169
2017-06-20,0.835837054308107,"landsat 8","forest",2017,171
2017-06-27,0.844048428414992,"landsat 8","forest",2017,178
2017-07-04,0.843838129368781,"landsat 8","forest",2017,185
2017-07-06,0.83589639032386,"landsat 8","forest",2017,187
2017-07-13,0.839077696617151,"landsat 8","forest",2017,194
2017-07-20,0.854431261004541,"landsat 8","forest",2017,201
2017-07-22,0.869226434084056,"landsat 8","forest",2017,203
2017-07-29,0.858573407630761,"landsat 8","forest",2017,210
2017-08-05,0.857470417057234,"landsat 8","forest",2017,217
2017-08-07,0.827149276677656,"landsat 8","forest",2017,219
2017-08-14,0.808306122560065,"landsat 8","forest",2017,226
2017-08-21,0.830036874446676,"landsat 8","forest",2017,233
2017-08-23,0.830036874446676,"landsat 8","forest",2017,235
2017-08-30,0.835441039013809,"landsat 8","forest",2017,242
2017-09-06,0.82733004754338,"landsat 8","forest",2017,249
2017-09-08,0.79878616764363,"landsat 8","forest",2017,251
2017-09-15,0.781317505892566,"landsat 8","forest",2017,258
2017-09-22,0.77794542252682,"landsat 8","forest",2017,265
2017-09-24,0.767632870708371,"landsat 8","forest",2017,267
2017-10-01,0.732516066530746,"landsat 8","forest",2017,274
2017-10-08,0.689210651490645,"landsat 8","forest",2017,281
2017-10-10,0.658455569312385,"landsat 8","forest",2017,283
2017-10-17,0.714163439391649,"landsat 8","forest",2017,290
2017-10-26,0.620901962682957,"landsat 8","forest",2017,299
2017-11-09,0.564138561262079,"landsat 8","forest",2017,313
2017-11-11,0.564138561262079,"landsat 8","forest",2017,315
2017-11-25,0.463984831906783,"landsat 8","forest",2017,329
2017-11-27,0.463984831906783,"landsat 8","forest",2017,331
2017-12-11,NA,"landsat 8","forest",2017,345
2017-12-13,NA,"landsat 8","forest",2017,347
2017-12-20,0.40484332642411,"landsat 8","forest",2017,354
2017-12-27,0.410734112915923,"landsat 8","forest",2017,361
2017-12-29,0.582754718123284,"landsat 8","forest",2017,363
2018-01-05,0.521337637188714,"landsat 8","forest",2018,5
2018-01-12,0.436825519245738,"landsat 8","forest",2018,12
2018-01-14,0.378884984511225,"landsat 8","forest",2018,14
2018-01-28,0.370243244594714,"landsat 8","forest",2018,28
2018-01-30,0.370243244594714,"landsat 8","forest",2018,30
2018-02-06,0.370222807161481,"landsat 8","forest",2018,37
2018-02-22,0.326476244788158,"landsat 8","forest",2018,53
2018-03-01,0.353564540664031,"landsat 8","forest",2018,60
2018-03-03,0.367953302061807,"landsat 8","forest",2018,62
2018-03-10,0.359250778871796,"landsat 8","forest",2018,69
2018-03-17,0.357393214833903,"landsat 8","forest",2018,76
2018-03-19,0.342554315545476,"landsat 8","forest",2018,78
2018-03-26,0.333069343539555,"landsat 8","forest",2018,85
2018-04-02,NA,"landsat 8","forest",2018,92
2018-04-11,0.330456747196484,"landsat 8","forest",2018,101
2018-04-20,0.374088250855003,"landsat 8","forest",2018,110
2018-04-27,0.386196740863206,"landsat 8","forest",2018,117
2018-05-04,0.39652338853258,"landsat 8","forest",2018,124
2018-05-06,0.495476892437533,"landsat 8","forest",2018,126
2018-05-13,0.52853850289593,"landsat 8","forest",2018,133
2018-05-20,0.686579651233146,"landsat 8","forest",2018,140
2018-05-22,0.810818916512883,"landsat 8","forest",2018,142
2018-05-29,0.797150609983323,"landsat 8","forest",2018,149
2018-06-05,0.805581225545059,"landsat 8","forest",2018,156
2018-06-07,0.806625846524021,"landsat 8","forest",2018,158
2018-06-14,0.806013040547935,"landsat 8","forest",2018,165
2018-06-30,0.845801526002508,"landsat 8","forest",2018,181
2018-07-07,0.847602407570887,"landsat 8","forest",2018,188
2018-07-09,0.859190266847698,"landsat 8","forest",2018,190
2018-07-16,0.857950094118736,"landsat 8","forest",2018,197
2018-07-23,0.854473167817327,"landsat 8","forest",2018,204
2018-07-25,0.840979050057469,"landsat 8","forest",2018,206
2018-08-01,0.842670475954848,"landsat 8","forest",2018,213
2018-08-08,0.843519200249522,"landsat 8","forest",2018,220
2018-08-10,0.839983586005859,"landsat 8","forest",2018,222
2018-08-17,0.829984035887427,"landsat 8","forest",2018,229
2018-08-26,0.787553032583418,"landsat 8","forest",2018,238
2018-09-02,0.792357006915321,"landsat 8","forest",2018,245
2018-09-09,0.798735785275197,"landsat 8","forest",2018,252
2018-09-11,0.82827622976923,"landsat 8","forest",2018,254
2018-09-18,0.795968641049531,"landsat 8","forest",2018,261
2018-09-25,0.782640259011984,"landsat 8","forest",2018,268
2018-09-27,0.793832733013265,"landsat 8","forest",2018,270
2018-10-04,0.765570512031124,"landsat 8","forest",2018,277
2018-10-11,0.765753330540959,"landsat 8","forest",2018,284
2018-10-13,0.761391732321339,"landsat 8","forest",2018,286
2018-10-20,0.744412207458984,"landsat 8","forest",2018,293
2018-10-27,0.674148658691888,"landsat 8","forest",2018,300
2018-10-29,0.650684676925405,"landsat 8","forest",2018,302
2018-11-14,0.457312184950849,"landsat 8","forest",2018,318
2018-11-21,0.457312184950848,"landsat 8","forest",2018,325
2018-11-28,0.493938936698703,"landsat 8","forest",2018,332
2018-11-30,0.493938936698703,"landsat 8","forest",2018,334
2018-12-07,0.417260593184112,"landsat 8","forest",2018,341
2018-12-14,0.422688527357542,"landsat 8","forest",2018,348
2018-12-16,0.434645597803543,"landsat 8","forest",2018,350
2018-12-23,0.450617222566211,"landsat 8","forest",2018,357
2018-12-30,0.467186332160592,"landsat 8","forest",2018,364
2019-01-08,0.426705698611538,"landsat 8","forest",2019,8
2019-01-31,-0.00727964536171781,"landsat 8","forest",2019,31
2019-02-02,-0.00727964536171781,"landsat 8","forest",2019,33
2019-02-09,0.314167936232137,"landsat 8","forest",2019,40
2019-02-16,0.324191651923092,"landsat 8","forest",2019,47
2019-02-18,0.554600877435414,"landsat 8","forest",2019,49
2019-02-25,0.329145400844341,"landsat 8","forest",2019,56
2019-03-04,0.332525328066905,"landsat 8","forest",2019,63
2019-03-06,0.335293787064162,"landsat 8","forest",2019,65
2019-03-13,0.334989348347514,"landsat 8","forest",2019,72
2019-03-22,0.365629061539533,"landsat 8","forest",2019,81
2019-03-29,0.321220707129214,"landsat 8","forest",2019,88
2019-04-07,NA,"landsat 8","forest",2019,97
2019-04-21,0.424194387891813,"landsat 8","forest",2019,111
2019-05-07,NA,"landsat 8","forest",2019,127
2019-05-16,NA,"landsat 8","forest",2019,136
2019-05-23,0.750604274163031,"landsat 8","forest",2019,143
2019-05-25,0.750604274163031,"landsat 8","forest",2019,145
2019-06-01,0.750490654804938,"landsat 8","forest",2019,152
2019-06-08,0.771527065708933,"landsat 8","forest",2019,159
2019-06-10,0.841102876633122,"landsat 8","forest",2019,161
2019-06-17,0.84138239373532,"landsat 8","forest",2019,168
2019-06-24,0.797842745659382,"landsat 8","forest",2019,175
2019-06-26,0.797842745659382,"landsat 8","forest",2019,177
2019-07-03,0.820265041564596,"landsat 8","forest",2019,184
2019-07-10,0.832425984697912,"landsat 8","forest",2019,191
2019-07-12,0.853899377414765,"landsat 8","forest",2019,193
2019-07-19,0.846239371348714,"landsat 8","forest",2019,200
2019-07-26,0.838654666300283,"landsat 8","forest",2019,207
2019-07-28,0.839456080578267,"landsat 8","forest",2019,209
2019-08-04,0.842460023291074,"landsat 8","forest",2019,216
2019-08-11,0.842273250478339,"landsat 8","forest",2019,223
2019-08-13,0.826717796828513,"landsat 8","forest",2019,225
2019-08-20,0.826717796828513,"landsat 8","forest",2019,232
2019-08-27,0.838689946971212,"landsat 8","forest",2019,239
2019-08-29,0.838689946971211,"landsat 8","forest",2019,241
2019-09-05,0.831773909519463,"landsat 8","forest",2019,248
2019-09-12,0.832528145229034,"landsat 8","forest",2019,255
2019-09-14,0.827034676803982,"landsat 8","forest",2019,257
2019-09-28,0.798370875411993,"landsat 8","forest",2019,271
2019-09-30,0.798370875411993,"landsat 8","forest",2019,273
2019-10-07,0.785529430124497,"landsat 8","forest",2019,280
2019-10-14,0.783658287622659,"landsat 8","forest",2019,287
2019-10-23,0.595984522185475,"landsat 8","forest",2019,296
2019-11-01,0.580228954758416,"landsat 8","forest",2019,305
2019-11-08,0.491738653137075,"landsat 8","forest",2019,312
2019-11-15,0.490156489309514,"landsat 8","forest",2019,319
2019-11-17,NA,"landsat 8","forest",2019,321
2019-11-24,0.471311083425121,"landsat 8","forest",2019,328
2019-12-10,0.417279963619785,"landsat 8","forest",2019,344
2019-12-17,0.41825447985711,"landsat 8","forest",2019,351
